metric,method,count,mean,std,min,25%,50%,75%,max,sum
agent_calls,formatog_d2_p2,333.0,2.6036036036036037,0.6297725628755435,1.0,2.0,3.0,3.0,4.0,867.0
agent_calls,formatog_d2_p3,333.0,2.6726726726726726,0.6045044802402095,1.0,2.0,3.0,3.0,4.0,890.0
agent_calls,formatog_d2_p4,333.0,2.5915915915915915,0.6316369450012653,1.0,2.0,3.0,3.0,4.0,863.0
agent_calls,formatog_d3_p1,333.0,2.5315315315315314,0.6561087344659624,1.0,2.0,2.0,3.0,4.0,843.0
agent_calls,formatog_d3_p2,333.0,2.6576576576576576,0.6516267247994132,1.0,2.0,3.0,3.0,4.0,885.0
agent_calls,formatog_d3_p3,333.0,2.7237237237237237,0.6553362573431305,1.0,2.0,3.0,3.0,4.0,907.0
agent_calls,formatog_d3_p4,333.0,2.5975975975975976,0.6900281076824345,1.0,2.0,3.0,3.0,4.0,865.0
agent_calls,formatog_d4_p1,333.0,2.5465465465465464,0.6505987245508048,1.0,2.0,3.0,3.0,4.0,848.0
agent_calls,formatog_d4_p2,333.0,2.6426426426426426,0.6687393158125798,1.0,2.0,3.0,3.0,4.0,880.0
agent_calls,formatog_d4_p3,333.0,2.714714714714715,0.6444804994336872,1.0,2.0,3.0,3.0,4.0,904.0
agent_calls,formatog_d4_p4,333.0,2.6126126126126126,0.6920961417017979,1.0,2.0,3.0,3.0,4.0,870.0
reached_depth,formatog_d1_p1,333.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,333.0
reached_depth,formatog_d1_p2,333.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,333.0
reached_depth,formatog_d1_p3,333.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,333.0
reached_depth,formatog_d1_p4,333.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,333.0
reached_depth,formatog_d2_p1,333.0,1.0990990990990992,0.29924468032699464,1.0,1.0,1.0,1.0,2.0,366.0
reached_depth,formatog_d2_p2,333.0,1.075075075075075,0.26390900176808346,1.0,1.0,1.0,1.0,2.0,358.0
reached_depth,formatog_d2_p3,333.0,1.054054054054054,0.22646462413591478,1.0,1.0,1.0,1.0,2.0,351.0
reached_depth,formatog_d2_p4,333.0,1.063063063063063,0.24344215608737305,1.0,1.0,1.0,1.0,2.0,354.0
reached_depth,formatog_d3_p1,333.0,1.1561561561561562,0.3635496016930901,1.0,1.0,1.0,1.0,2.0,385.0
reached_depth,formatog_d3_p2,333.0,1.093093093093093,0.2910001144480487,1.0,1.0,1.0,1.0,2.0,364.0
reached_depth,formatog_d3_p3,333.0,1.093093093093093,0.2910001144480487,1.0,1.0,1.0,1.0,2.0,364.0
reached_depth,formatog_d3_p4,333.0,1.0960960960960962,0.2951665086796932,1.0,1.0,1.0,1.0,2.0,365.0
reached_depth,formatog_d4_p1,333.0,1.15015015015015,0.35775611136408403,1.0,1.0,1.0,1.0,2.0,383.0
reached_depth,formatog_d4_p2,333.0,1.0990990990990992,0.29924468032699464,1.0,1.0,1.0,1.0,2.0,366.0
reached_depth,formatog_d4_p3,333.0,1.0840840840840842,0.2779315034669776,1.0,1.0,1.0,1.0,2.0,361.0
reached_depth,formatog_d4_p4,333.0,1.0840840840840842,0.2779315034669776,1.0,1.0,1.0,1.0,2.0,361.0
duration,formatog_d1_p1,333.0,20.35162669831926,17.33280185321783,4.4065234661102295,12.377817630767822,16.31625247001648,22.172162771224976,198.8073098659515,6777.091690540314
duration,formatog_d1_p2,333.0,22.109647324851327,20.15245837361651,2.7948668003082275,12.93689465522766,19.95118474960327,24.224023818969727,180.40003418922424,7362.512559175491
duration,formatog_d1_p3,333.0,24.36434885188266,19.54541236870657,2.9530105590820312,14.92373275756836,22.35861611366272,27.121467351913452,171.3213050365448,8113.328167676926
duration,formatog_d1_p4,333.0,24.190210609464675,21.439339901064038,2.8596136569976807,14.111560821533203,20.625587701797485,27.38502550125122,194.28848671913147,8055.340132951736
duration,formatog_d2_p1,333.0,15.838020274589011,6.326442302686666,4.2003960609436035,11.65966296195984,14.39661192893982,19.627605438232425,49.90547013282776,5274.060751438141
duration,formatog_d2_p2,333.0,20.064300177691578,15.298946373288654,3.33917236328125,13.00583839416504,19.161027431488037,23.027897834777832,153.97354674339294,6681.411959171295
duration,formatog_d2_p3,333.0,24.57949149000036,18.95437943942982,3.2905943393707275,14.952503204345703,23.374465465545654,27.493739366531372,160.10956501960754,8184.97066617012
duration,formatog_d2_p4,333.0,25.693144428837407,23.78533730721239,2.9657230377197266,14.02428650856018,20.663623332977295,27.774163484573364,178.6638560295105,8555.817094802856
duration,formatog_d3_p1,333.0,14.930313593632466,5.71388376038789,3.5292232036590576,11.3554265499115,13.756866693496704,18.720741748809814,47.185795307159424,4971.794426679611
duration,formatog_d3_p2,333.0,21.217433179105008,16.891399687435424,3.041421175003052,13.295033931732178,19.78139925003052,23.54110836982727,157.1484088897705,7065.405248641968
duration,formatog_d3_p3,333.0,26.424268373139984,23.424733874699893,3.4921374320983887,15.353976011276243,22.98529839515686,27.711058855056763,176.80378365516663,8799.281368255615
duration,formatog_d3_p4,333.0,25.22462952530778,23.429743872166227,3.1042613983154297,13.935180187225342,19.860978364944454,28.1656813621521,174.83944821357727,8399.80163192749
duration,formatog_d4_p1,333.0,15.54574340456599,6.9104105720742295,3.534449815750122,11.414281845092772,14.20996356010437,18.91685128211975,71.38350415229797,5176.732553720474
duration,formatog_d4_p2,333.0,21.768738236155237,38.671171052259396,3.044212818145752,12.84686827659607,19.450196504592896,23.438923120498657,682.8085851669312,7248.989832639694
duration,formatog_d4_p3,333.0,24.348157879826545,16.9393076348018,3.1551353931427,14.854594230651855,23.23822045326233,27.459864854812626,133.39401054382324,8107.936573982239
duration,formatog_d4_p4,333.0,24.471604904254992,21.88067019525359,2.7587525844573975,14.31506323814392,20.714611768722538,27.573086500167847,181.43129181861875,8149.044433116913
exact_match,formatog_d1_p1,333.0,0.26126126126126126,0.43998312628608466,0.0,0.0,0.0,1.0,1.0,87.0
exact_match,formatog_d1_p2,333.0,0.24924924924924924,0.43322937075836365,0.0,0.0,0.0,0.0,1.0,83.0
exact_match,formatog_d1_p3,333.0,0.24324324324324326,0.4296864130340593,0.0,0.0,0.0,0.0,1.0,81.0
exact_match,formatog_d1_p4,333.0,0.26126126126126126,0.43998312628608466,0.0,0.0,0.0,1.0,1.0,87.0
exact_match,formatog_d2_p1,333.0,0.23423423423423423,0.42415660372925673,0.0,0.0,0.0,0.0,1.0,78.0
exact_match,formatog_d2_p2,333.0,0.2882882882882883,0.45364761390685887,0.0,0.0,0.0,1.0,1.0,96.0
exact_match,formatog_d2_p3,333.0,0.24624624624624625,0.43147201045566097,0.0,0.0,0.0,0.0,1.0,82.0
exact_match,formatog_d2_p4,333.0,0.26426426426426425,0.44160422484373213,0.0,0.0,0.0,1.0,1.0,88.0
exact_match,formatog_d3_p1,333.0,0.23123123123123124,0.42225440282893356,0.0,0.0,0.0,0.0,1.0,77.0
exact_match,formatog_d3_p2,333.0,0.26126126126126126,0.43998312628608466,0.0,0.0,0.0,1.0,1.0,87.0
exact_match,formatog_d3_p3,333.0,0.24624624624624625,0.43147201045566097,0.0,0.0,0.0,0.0,1.0,82.0
exact_match,formatog_d3_p4,333.0,0.2732732732732733,0.44631061949351736,0.0,0.0,0.0,1.0,1.0,91.0
exact_match,formatog_d4_p1,333.0,0.23723723723723725,0.42602908103358395,0.0,0.0,0.0,0.0,1.0,79.0
exact_match,formatog_d4_p2,333.0,0.24624624624624625,0.431472010455661,0.0,0.0,0.0,0.0,1.0,82.0
